gene_id,p_value,auc_single,neg_log10_p
SLCO1B3,0.39879931426212223,0.8991066736731477,0.39924559713177704
CALY,0.39937443310762444,0.9819232790331056,0.39861974095675534
PCSK2,0.39937443310762444,0.9819232790331056,0.39861974095675534
NR1H4,0.39937443310762444,0.9819232790331056,0.39861974095675534
SIGLEC9,0.39937443310762444,0.9819232790331056,0.39861974095675534
MYH2,0.39937443310762444,0.9819232790331056,0.39861974095675534
ACSM3,0.39937443310762444,0.9819232790331056,0.39861974095675534
ADH6,0.39937443310762444,0.9819232790331056,0.39861974095675534
TBX5,0.39937443310762444,0.9819232790331056,0.39861974095675534
CREB5,0.39937443310762444,0.9819232790331056,0.39861974095675534
SLC6A3,0.39937443310762444,0.9819232790331056,0.39861974095675534
SLC6A3_1,0.39937443310762444,0.9819232790331056,0.39861974095675534
PRMT8,0.39937443310762444,0.9819232790331056,0.39861974095675534
ACKR2,0.39937443310762444,0.9819232790331056,0.39861974095675534
PLD1,0.39937443310762444,0.9819232790331056,0.39861974095675534
SCRN3,0.39937443310762444,0.9819232790331056,0.39861974095675534
ETV2,0.39937443310762444,0.9819232790331056,0.39861974095675534
KPNA4,0.39950139238542004,0.5370467682606411,0.3984817026972969
PTMS,0.3995056880338179,0.5384130320546505,0.39847703296046694
TNKS2,0.3995157108647871,0.5377824487651077,0.3984661374821001
NEIL1,0.3995157108647871,0.5377824487651077,0.3984661374821001
TEFM,0.3995157108647871,0.5377824487651077,0.3984661374821001
MXRA5,0.3995157108647871,0.5377824487651077,0.3984661374821001
GNB3,0.3995157108647871,0.5377824487651077,0.3984661374821001
MRPL13,0.3995157108647871,0.5377824487651077,0.3984661374821001
SLC6A2,0.39990056191418155,0.9638465580662112,0.3980479856237754
RIMBP2,0.39990056191418155,0.9638465580662112,0.3980479856237754
LGI1,0.39990056191418155,0.9638465580662112,0.3980479856237754
SPAM1,0.39990056191418155,0.9638465580662112,0.3980479856237754
SERPINA2_1,0.40017244070388636,0.5377824487651077,0.3977528239015978
SERPINA2,0.40017244070388636,0.5377824487651077,0.3977528239015978
EDN2,0.40026282245837974,0.5589069889647924,0.39765474651991684
TIGAR,0.4008103856999238,0.5368365738307935,0.39706103366343987
ARL4C,0.4008299386079802,0.5376773515501839,0.3970398478028531
MKRN2,0.4008300578273175,0.5376773515501839,0.3970397186301351
PHLPP1,0.40100637810862383,0.5841303205465056,0.396848719760487
NEDD4L,0.40132964660406745,0.534944823962165,0.396498757333232
MTSS2,0.40171535121533153,0.5219127693116132,0.39608157175172054
CDC20,0.4019885070260666,0.5356805044666316,0.3957863633496373
WLS,0.4021327037490071,0.5371518654755649,0.39563060613066653
MYLIP,0.4021327037490071,0.5375722543352601,0.39563060613066653
TPT1,0.4021469987184806,0.5375722543352601,0.39561516815220477
ZNF593,0.4021469987184806,0.5375722543352601,0.39561516815220477
DNAJB14,0.4021469987184806,0.5375722543352601,0.39561516815220477
GLB1L,0.4021469987184806,0.5375722543352601,0.39561516815220477
CMTR1,0.4021469987184806,0.5375722543352601,0.39561516815220477
CHD9,0.40346653139047284,0.5374671571203363,0.39419248531684464
EHD1,0.40346653139047284,0.5374671571203363,0.39419248531684464
PDIA4,0.40346653139047284,0.5374671571203363,0.39419248531684464
NPM1,0.40346653139047284,0.5374671571203363,0.39419248531684464
SAP130,0.40346653139047284,0.5374671571203363,0.39419248531684464
RAB30,0.4036132287146449,0.7948502364687335,0.3940346078870075
PRUNE2,0.40443698173150355,0.8793483972674724,0.39314913936295204
ARHGAP22,0.40443979439854694,0.7172884918549658,0.39314611906168384
HOXA3,0.40457550600826553,0.8847083552285865,0.39300041402061925
TMEM97,0.40478853474402,0.5373620599054125,0.39277179697834136
FBXW7,0.404788653662689,0.5373620599054125,0.3927716693914417
CALML4,0.404788653662689,0.5373620599054125,0.3927716693914417
MOB1A,0.404788653662689,0.5373620599054125,0.3927716693914417
CCDC6,0.4048417595594672,0.5597477666841828,0.3927146962402761
SPEF1,0.405099525824377,0.963951655281135,0.392438265164911
BIRC5,0.4051732563563595,0.5309511297950604,0.3923592281690243
PRODH,0.4059051715711165,0.786547556489753,0.3915754153728088
CHRD,0.40591447986844786,0.6699947451392538,0.391565456160415
ZNF267,0.4061132445062654,0.5372569626904887,0.39135284670254916
MYNN,0.4061133633216929,0.5372569626904887,0.3913527196422336
ZMYM3,0.4061133633216929,0.5372569626904887,0.3913527196422336
NAXD,0.4061133633216929,0.5372569626904887,0.3913527196422336
SCAPER,0.4063504812355899,0.5327377824487651,0.3910992215815395
RPL36,0.40744065812119,0.5371518654755649,0.38993563533430703
ZMIZ2,0.40744065812119,0.5371518654755649,0.38993563533430703
BBLN,0.40744065812119,0.5371518654755649,0.38993563533430703
ECE1,0.40744065812119,0.5371518654755649,0.38993563533430703
CDCA3,0.40744065812119,0.5371518654755649,0.38993563533430703
RAB23,0.40760029395378417,0.8457172884918549,0.3897655114603601
MMP3,0.40805955913183045,0.5285338938518129,0.3892764439823432
SLC22A8,0.408105155579934,0.5371518654755649,0.38922791876318236
ZSWIM8-AS1,0.40847994698394463,0.5125591171833946,0.3888292589063099
EML2,0.4085878025007147,0.5350499211770888,0.38871460242628686
CHPF,0.4087705357820002,0.537046768260641,0.38852041573159607
UBAP2L,0.4087705357820002,0.5370467682606411,0.38852041573159607
MTMR4,0.4087705357820002,0.5370467682606411,0.38852041573159607
PYROXD1,0.4087705357820002,0.5370467682606411,0.38852041573159607
ASB8,0.4087705357820002,0.5370467682606411,0.38852041573159607
PITRM1,0.4087705357820002,0.537046768260641,0.38852041573159607
CDK5RAP2,0.4087705357820002,0.537046768260641,0.38852041573159607
ABCD1,0.4087705357820002,0.537046768260641,0.38852041573159607
SLC6A15,0.4095953697769168,0.9123489227535471,0.3876449614357922
ZSCAN5A,0.41002240020561387,0.5394640042038885,0.3871924164023363
AZIN1,0.4101029939920321,0.5369416710457173,0.38710706009688006
LDLR,0.4108231432307261,0.6821860220704151,0.38634509892508184
MT3,0.41101094655341597,0.636048344718865,0.3861466113004849
ACTR1B_1,0.4114380304062557,0.5368365738307935,0.3856955676917839
CTSD,0.4114380304062557,0.5368365738307935,0.3856955676917839
ZNF236,0.4114380304062557,0.5368365738307935,0.3856955676917839
SNX4,0.4114380304062557,0.5368365738307935,0.3856955676917839
ACTR1B,0.4114380304062557,0.5368365738307935,0.3856955676917839
MRPS30,0.4114380304062557,0.5368365738307935,0.3856955676917839
CSNK1G2,0.4114380304062557,0.5368365738307935,0.3856955676917839
IFITM2,0.4114380304062557,0.5368365738307934,0.3856955676917839
GNB1,0.4114380304062557,0.5368365738307934,0.3856955676917839
CBR3,0.4114380304062557,0.5368365738307934,0.3856955676917839
PFDN6,0.41176081015925337,0.5201261166579085,0.3853549902617069
PFDN6_1,0.41176081015925337,0.5201261166579085,0.3853549902617069
PFDN6_2,0.41176081015925337,0.5201261166579085,0.3853549902617069
PFDN6_4,0.41176081015925337,0.5201261166579085,0.3853549902617069
PFDN6_3,0.41176081015925337,0.5201261166579085,0.3853549902617069
CIDEA,0.41188370105100547,0.897320021019443,0.3852253934858315
PRPS1,0.4120869889552151,0.5378875459800315,0.3850110974728833
CLSTN2,0.41238779429008166,0.5353652128218602,0.3846941972947072
RHOBTB3,0.41276901905391494,0.5362059905412506,0.38429290672690253
PIP,0.412774459878296,0.5367314766158697,0.3842871822070777
PRPF8_1,0.41277564264667954,0.5367314766158697,0.3842859377767741
PEBP1,0.41277564264667954,0.5367314766158697,0.3842859377767741
PRPF8,0.41277564264667954,0.5367314766158697,0.3842859377767741
NME6,0.41299947096159884,0.5314766158696795,0.38405050465983503
SPTBN2,0.4130267754833792,0.6761954808197583,0.38402179321586927
TNFRSF9,0.413315045428872,0.948922753547031,0.383718785311546
BRPF1,0.41344529572902433,0.5366263794009459,0.38358194520377986
LGI2,0.41411571013812765,0.5366263794009459,0.3828782935331695
CKB,0.4141158283023245,0.5366263794009459,0.3828781696111591
ZNF35_1,0.4141158283023245,0.5366263794009459,0.3828781696111591
TGOLN2_1,0.4141158283023245,0.5366263794009459,0.3828781696111591
UTP11,0.4141158283023245,0.5366263794009458,0.3828781696111591
RSAD1,0.4141158283023245,0.5366263794009459,0.3828781696111591
PEX2,0.4141158283023245,0.5366263794009459,0.3828781696111591
TGOLN2,0.4141158283023245,0.5366263794009459,0.3828781696111591
ZNF35,0.4141158283023245,0.5366263794009459,0.3828781696111591
TGIF2,0.4142843203656036,0.5686810299527063,0.38270150336006453
NSG2,0.4149037714781483,0.8243825538623226,0.3820526174132444
AKAP12,0.41544441838851265,0.5361008933263268,0.3814870715232785
TRAF3,0.4154584668788499,0.536521282186022,0.3814723858555758
PPP3CA,0.41545858492920074,0.536521282186022,0.38147226245308735
CNTNAP1,0.41545858492920074,0.5365212821860221,0.38147226245308735
ALDH3A2,0.41545858492920074,0.5365212821860221,0.38147226245308735
NR3C1,0.41545858492920074,0.5365212821860221,0.38147226245308735
RNF7,0.41545858492920074,0.536521282186022,0.38147226245308735
INTS15,0.41545858492920074,0.536521282186022,0.38147226245308735
DUS2,0.41545858492920074,0.536521282186022,0.38147226245308735
LINS1,0.4156178952539086,0.9641618497109826,0.38130576130083954
SCN3A,0.4156178952539086,0.9641618497109826,0.38130576130083954
SLC2A11,0.4156178952539086,0.9641618497109826,0.38130576130083954
SLC2A11_1,0.4156178952539086,0.9641618497109826,0.38130576130083954
XAB2,0.41599936291239215,0.6113504992117709,0.38090733447865255
C8orf44,0.4160024771330033,0.626379400945875,0.38090408331077824
GALNT12,0.416358036577801,0.8769311613242249,0.38053304813620414
ZNF43_1,0.41678975735310475,0.5353652128218602,0.3800829624045138
ZNF43,0.41678975735310475,0.5353652128218602,0.3800829624045138
NECTIN2,0.4168039100502854,0.5364161849710982,0.3800682155595448
THUMPD1,0.4168039100502854,0.5364161849710982,0.3800682155595448
PIEZO1,0.4168039100502854,0.5364161849710982,0.3800682155595448
